"run","stored"
3,19776.0
3,19787.0
3,19786.0
3,19786.0
3,20133.0
3,20131.0
3,20129.0
3,20129.0
3,20129.0
3,20129.0
3,20129.0
3,20129.0
3,20129.0
3,20129.0
3,20129.0
3,20129.0
3,20129.0
3,20129.0
3,21010.0
3,21010.0
3,21010.0
3,20948.0
3,20946.0
3,21736.0
3,21703.0
3,22564.0
3,22564.0
3,22561.0
3,22559.0
3,22540.0
3,22540.0
3,22538.0
3,22538.0
3,23203.0
3,23203.0
3,23202.0
3,23202.0
3,23201.0
3,23201.0
3,23201.0
3,23201.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23200.0
3,23454.0
3,23480.0
3,23480.0
3,23480.0
3,23480.0
3,23480.0
3,23480.0
3,23480.0
3,23480.0
3,23861.0
3,23829.0
3,24287.0
3,24284.0
3,24284.0
3,24284.0
3,24284.0
3,24284.0
3,24284.0
3,24284.0
3,24284.0
3,24284.0
3,24284.0
3,24284.0
3,24284.0
3,24284.0
2,0.0
2,0.0
2,0.0
2,679.0
2,667.0
2,1477.0
2,1474.0
2,1474.0
2,1474.0
2,1474.0
2,1471.0
2,2345.0
2,2671.0
2,2671.0
2,2671.0
2,2671.0
2,2670.0
2,2669.0
2,2669.0
2,2669.0
2,2669.0
2,2669.0
2,2669.0
2,3591.0
2,3590.0
2,3582.0
2,4299.0
2,4292.0
2,4532.0
2,4528.0
2,4525.0
2,4524.0
2,4523.0
2,4523.0
2,4520.0
2,4518.0
2,4516.0
2,4516.0
2,4502.0
2,5056.0
2,5056.0
2,5046.0
2,5045.0
2,5045.0
2,5045.0
2,5045.0
2,5045.0
2,5045.0
2,5045.0
2,5045.0
2,5045.0
2,5045.0
2,5045.0
2,5045.0
2,5045.0
2,5045.0
2,5045.0
2,5045.0
2,5045.0
2,5027.0
2,5026.0
2,5316.0
2,5316.0
2,5316.0
2,5316.0
2,5316.0
2,5736.0
2,5735.0
2,5734.0
2,5734.0
2,5733.0
2,5733.0
2,5733.0
2,5717.0
2,5717.0
2,5723.0
2,5721.0
2,5721.0
2,5721.0
2,5737.0
2,5737.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5736.0
2,5935.0
2,5867.0
2,5864.0
2,5864.0
2,5864.0
2,5864.0
2,5864.0
2,5864.0
2,5864.0
2,5864.0
2,5864.0
2,5864.0
2,5864.0
2,5864.0
2,5864.0
2,5864.0
2,5864.0
2,5864.0
2,5851.0
2,6570.0
2,6536.0
2,6536.0
2,6536.0
2,6536.0
2,6536.0
2,6536.0
2,6536.0
2,6536.0
2,6536.0
2,6536.0
2,6536.0
2,6536.0
2,6536.0
2,6536.0
2,6536.0
2,6536.0
2,6536.0
2,7018.0
2,7018.0
2,6979.0
2,7170.0
2,7166.0
2,7166.0
2,7166.0
2,7166.0
2,7166.0
2,7166.0
2,7166.0
2,7166.0
2,7166.0
2,7166.0
2,7166.0
2,7113.0
2,7113.0
2,7759.0
2,7759.0
2,7759.0
2,7759.0
2,7759.0
2,7748.0
2,7730.0
2,8711.0
2,8709.0
2,8709.0
2,8709.0
2,8709.0
2,8709.0
2,8709.0
2,8709.0
2,8709.0
2,8709.0
2,8709.0
2,8709.0
2,8709.0
2,8709.0
2,8677.0
2,8646.0
2,8646.0
2,9078.0
2,9076.0
2,9076.0
2,9076.0
2,9076.0
2,9076.0
2,9076.0
2,9891.0
2,9891.0
2,9891.0
2,9891.0
2,9891.0
2,9891.0
2,9891.0
2,9891.0
2,9891.0
2,9891.0
2,9891.0
2,10103.0
2,10103.0
2,10103.0
2,10103.0
2,10103.0
2,10103.0
2,10103.0
2,10103.0
2,10103.0
2,10103.0
