"stored","consumed","remaining"
6800.0,473.00091552734375,32021.0
7222.0,476.80093002319336,31573.0
8200.0,479.5009346008301,30595.0
8200.0,482.5009460449219,30595.0
8137.0,485.5009574890137,30595.0
8136.0,487.40096282958984,30595.0
8136.0,489.7009696960449,30595.0
8135.0,491.40097427368164,30595.0
8135.0,493.10097885131836,30595.0
8135.0,495.6009864807129,30595.0
8135.0,497.50099182128906,30595.0
8135.0,500.0009994506836,30595.0
8135.0,501.4010009765625,30595.0
8135.0,504.8010139465332,30595.0
8135.0,508.2010269165039,30595.0
8135.0,511.6010398864746,30595.0
8135.0,515.0010528564453,30595.0
8135.0,518.2010612487793,30595.0
8623.0,522.4010772705078,30107.0
9582.0,525.8010902404785,29121.0
9582.0,527.801097869873,29121.0
9579.0,529.8011054992676,29121.0
9576.0,531.7011108398438,29121.0
